Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
Transition for 100 Geylang Lorong 23,General Info on URA SPACE map service,,Catch all,,No Feedback,12/30/2019 20:10,12/31/2019 10:40,1,Oh Kie Hock
MPZ for Balestier,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,12/29/2019 12:46,12/31/2019 10:40,2,Oh Kie Hock
WHERE CAN I FIND THE PREVIOUS STREET BLOCK PLAN,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/29/2019 12:50,12/31/2019 10:40,2,Oh Kie Hock
wait list,Catch all,Top Match,Catch all,,No Feedback,12/29/2019 13:47,12/31/2019 10:40,2,Oh Kie Hock
report number,General info on reporting infringements,,General info on reporting infringements,,No Feedback,12/29/2019 16:46,12/31/2019 10:39,2,Oh Kie Hock
How to get a copy of sky magazine,How can I obtain the approved plan for my property?,Top Match,General Information about URA,,Incorrect,12/28/2019 7:44,12/31/2019 10:39,3,Oh Kie Hock
How to request for approval to built roofing for patio unit,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/28/2019 11:00,12/31/2019 10:38,3,Oh Kie Hock
How to apply roofing for,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/28/2019 11:07,12/31/2019 10:38,3,Oh Kie Hock
How to apply for roofing for patio unit,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/28/2019 11:08,12/31/2019 10:38,3,Oh Kie Hock
Where to find the form,"General info on Additions and Alterations, and DC Forms",Top Match,Catch all,,No Feedback,12/28/2019 11:08,12/31/2019 10:38,3,Oh Kie Hock
clearance form for coldstore,"General info on Additions and Alterations, and DC Forms",,Catch all,,No Feedback,12/28/2019 14:10,12/31/2019 10:38,3,Oh Kie Hock
I need a coldstore clearance form to apply licence,General info on change of use,,Catch all,,No Feedback,12/28/2019 14:11,12/31/2019 10:38,3,Oh Kie Hock
Hello can we ask whom email address we are going to send photo and ask question about repairing the ceiling at Tiong Bahru building thanks,General Information about URA,,Catch all,,No Feedback,12/28/2019 14:57,12/31/2019 10:37,3,Oh Kie Hock
Illegal rental,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/28/2019 19:46,12/31/2019 10:37,3,Oh Kie Hock
restore ceiling,"My unit has a high ceiling, can I build a loft?",,Catch all,,No Feedback,12/28/2019 21:23,12/31/2019 10:37,3,Oh Kie Hock
is tiong bahru residensials,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/28/2019 21:29,12/31/2019 10:37,3,Oh Kie Hock
Religious activities residential,General info on change of use,,Catch all,,No Feedback,12/28/2019 22:06,12/31/2019 10:36,3,Oh Kie Hock
how many tenant one apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/28/2019 22:10,12/31/2019 10:36,3,Oh Kie Hock
Divorce mop ec,Catch all,,Catch all,,No Feedback,12/27/2019 11:01,12/31/2019 10:36,4,Oh Kie Hock
how to purchase existing plans,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/27/2019 10:56,12/31/2019 10:36,4,Oh Kie Hock
Using my private residential address as business address,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,12/27/2019 11:14,12/31/2019 10:36,4,Oh Kie Hock
contact number of chief surveyor,General Information about URA,Top Match,Catch all,,No Feedback,12/27/2019 12:15,12/31/2019 10:35,4,Oh Kie Hock
how can I check build in area,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/27/2019 11:51,12/31/2019 10:35,4,Oh Kie Hock
what is the temporary development levy,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,12/27/2019 14:24,12/31/2019 10:34,4,Oh Kie Hock
what is temporary development levy,General Information about URA,Top Match,Catch all,,No Feedback,12/27/2019 14:25,12/31/2019 10:34,4,Oh Kie Hock
what is your customer service number please,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/27/2019 14:45,12/31/2019 10:34,4,Oh Kie Hock
Hi if landlord rent out the unit for one year when the lease expires tenant want to go month by month is it legal without any contract signing,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/27/2019 14:34,12/31/2019 10:34,4,Oh Kie Hock
sublet,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/27/2019 14:35,12/31/2019 10:34,4,Oh Kie Hock
Where is Jurong Regional Centre,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 14:43,12/31/2019 10:33,4,Oh Kie Hock
What does Jurong Regional Centre consist of,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,12/27/2019 14:44,12/31/2019 10:33,4,Oh Kie Hock
Jurong regional centre,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 14:44,12/31/2019 10:33,4,Oh Kie Hock
how to calculate gross floor are,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/27/2019 17:29,12/31/2019 10:33,4,Oh Kie Hock
do I need to submit for approval if I want to add roof structure less than 2m to my roof terrace,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/27/2019 17:40,12/31/2019 10:33,4,Oh Kie Hock
PURCHASE OF OLD RECORD PLAN,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/27/2019 18:41,12/31/2019 10:33,4,Oh Kie Hock
how to get information on height restriction,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 21:07,12/31/2019 10:33,4,Oh Kie Hock
how to know the height restriction of a building,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 21:05,12/31/2019 10:32,4,Oh Kie Hock
how to know the height restriction,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 21:06,12/31/2019 10:32,4,Oh Kie Hock
what is height restriction,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,12/27/2019 21:07,12/31/2019 10:32,4,Oh Kie Hock
How is the submission processing fee for new single storey erection of institutional building,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,12/27/2019 23:38,12/31/2019 10:32,4,Oh Kie Hock
I JUST RENEW THE SEASON PARKING AND MAKE THE PAYMENT,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,12/26/2019 11:57,12/27/2019 16:40,1,Kan Yuan Jing
SO I NOT SURE I HAVE ALREADY RENEW THE SEASON PARKINGSO WHERE CAN I CXHECK,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,12/26/2019 11:58,12/27/2019 16:40,1,Kan Yuan Jing
Hi I am doing a site renovation But I need to bonlift for a couple of hours at the job site 16 Upper circular road Do I need to apply for parking licence,Car Parks-Season Parking-Apply,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,12/26/2019 16:57,12/27/2019 16:39,1,Kan Yuan Jing
I have paid for parking fine Where can I reprint slip,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,12/26/2019 13:58,12/27/2019 16:39,1,Kan Yuan Jing
what is the email address to appeal on parking fines,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,12/26/2019 14:48,12/27/2019 16:38,1,Kan Yuan Jing
where to send in my cheque payment for parking fine im 75 years old not used to AXS payment etc,(Payment) How do I make payment for my parking offence?,Top Match,(Payment) How do I make payment for my parking offence?,Car Parks,No Feedback,12/26/2019 14:53,12/27/2019 16:38,1,Kan Yuan Jing
How can I retrieve previously parking payment slip,(Payment) How do I check my outstanding fines and if my fines are paid?,,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,12/26/2019 15:01,12/27/2019 16:38,1,Kan Yuan Jing
I need to retrieve previously parking ticket payment slip,(Payment) How do I check my outstanding fines and if my fines are paid?,,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,12/26/2019 15:04,12/27/2019 16:38,1,Kan Yuan Jing
May I know did you receive my appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,12/26/2019 15:12,12/27/2019 16:38,1,Kan Yuan Jing
i need to get season parking near Keong Said Road,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/26/2019 23:39,12/27/2019 16:38,1,Kan Yuan Jing
my vehichle is sent for repair I need to transfer season parking to new vehicle temporary,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer-Temporary Transfer,,No Feedback,12/27/2019 10:22,12/27/2019 16:37,<1,Kan Yuan Jing
we would like to purchase lorry resident season parking for 38A lor 11 Geylang,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/27/2019 10:19,12/27/2019 16:37,<1,Kan Yuan Jing
Hi is there available season parking at Lorong Sireh Paya Lebar Tanjong Katong,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/27/2019 10:22,12/27/2019 16:36,<1,Kan Yuan Jing
How can I buy a season parking around sembawang,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/27/2019 11:32,12/27/2019 16:36,<1,Kan Yuan Jing
How do I apply for a season parking ticket and what are the rates for heavy vehicles,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/27/2019 13:42,12/27/2019 16:36,<1,Kan Yuan Jing
